City ID,City Name,Country,Cloudiness,Max Temp,Wind Speed,Humidity,Lat,Lng
248,Rio Grande,BR,0,75.31,5.55,69,-32.035,-52.0986
249,Marrakesh,MA,1,86.07,8.05,35,31.6315,-8.0083
250,Trieste,IT,1,72.37,1.99,29,45.6486,13.78
251,Redmond,US,100,64.54,1.01,89,47.674,-122.1215
252,Nangomba,TZ,5,65.23,1.95,55,-10.9,38.5
253,Vao,NC,13,72.97,11.7,81,-22.6667,167.4833
254,Heze,CN,9,75.61,7.65,93,35.2431,115.4411
255,Lüderitz,NA,100,61.03,5.5,70,-26.6481,15.1594
256,Jampur,PK,0,98.44,5.17,42,29.6441,70.5954
257,Saint Lawrence,MT,1,74.86,6.42,75,36.0553,14.204
258,Pekan Nenas,MY,92,80.58,1.66,92,1.51,103.5141
259,Linfen,CN,46,75.54,0.6,78,36.0889,111.5189
260,Carballo,ES,74,68.07,2.98,93,43.213,-8.691
261,Ormara,PK,48,82.99,7.0,82,25.2088,64.6357
262,Taoudenni,ML,1,106.66,10.63,7,22.6783,-3.9836
263,Cochrane,CA,1,83.61,5.75,47,51.1834,-114.4687
264,Saint George,US,1,106.63,1.01,7,37.1041,-113.5841
265,Kasongo-Lunda,CD,83,72.32,1.05,40,-6.4667,16.8167
266,Cabedelo,BR,7,81.27,12.41,82,-6.9811,-34.8339
267,Forsytheganj,BY,3,60.24,3.69,85,52.6333,29.7333
268,Tambopata,PE,40,84.09,3.44,54,-12.7333,-69.1833
269,Betanzos,ES,68,77.65,1.01,83,43.2804,-8.2147
270,Makat,KZ,99,83.44,20.24,14,47.6469,53.3463
271,Nur-Sultan,KZ,0,60.75,8.95,59,51.1801,71.446
272,Harper,LR,16,77.99,6.22,85,4.375,-7.7169
273,Souillac,MU,40,71.98,10.36,88,-20.5167,57.5167
274,Laguna,US,1,87.12,5.01,48,38.421,-121.4238
275,Malanje,AO,68,63.28,3.29,40,-9.5402,16.341
276,La Vista,US,1,93.52,3.0,39,41.1839,-96.0311
277,Adrar,MR,77,101.88,10.63,8,20.5022,-10.0711
278,Sisimiut,GL,100,40.1,11.83,80,66.9395,-53.6735
279,Hithadhoo,MV,89,82.42,8.43,73,-0.6,73.0833
280,Corumbá,BR,0,85.91,3.44,45,-19.0092,-57.6533
281,Yashkul',RU,6,71.22,6.96,73,46.1711,45.3435
282,Sorong,ID,100,76.53,6.29,88,-0.8833,131.25
283,Vostok,RU,0,49.8,4.43,92,46.4856,135.8833
284,Kuching,MY,20,79.02,3.44,94,1.55,110.3333
285,Spirit River,CA,100,75.63,5.21,54,55.7833,-118.8361
286,Esperance,AU,99,46.24,27.67,67,-33.8667,121.9
287,Qandala,SO,91,93.0,3.2,43,11.472,49.8728
288,Kavieng,PG,10,81.82,11.81,77,-2.5744,150.7967
289,Kulachi,PK,0,96.98,9.35,33,31.9286,70.4592
290,Zhigansk,RU,92,48.58,10.6,81,66.7697,123.3711
291,Esparta,HN,82,95.79,6.55,66,15.7437,-87.1766
292,Yulara,AU,0,40.84,4.61,75,-25.2406,130.9889
293,Abashiri,JP,100,48.42,4.47,92,44.0213,144.2697
294,Dickson,US,1,92.21,5.01,43,36.077,-87.3878
295,Ulaangom,MN,38,52.75,10.47,55,49.9811,92.0667
296,Tautira,PF,25,80.62,17.27,80,-17.7333,-149.15
297,Teixoso,PT,1,70.21,5.08,59,40.3145,-7.4576
298,Batagay,RU,97,52.5,5.28,72,67.6333,134.6333
299,Vila Velha,BR,75,76.96,11.01,69,-20.3297,-40.2925
300,Bukowno,PL,0,61.65,3.74,65,50.2647,19.4596
301,Talnakh,RU,32,44.11,9.48,88,69.4865,88.3972
302,Hirara,JP,96,83.21,17.11,86,24.8,125.2833
303,Casablanca,MA,40,70.14,8.99,68,33.5928,-7.6192
304,Poum,NC,53,74.01,15.26,82,-20.2333,164.0167
305,Achacachi,BO,20,50.18,6.44,41,-16.05,-68.6833
306,Cockburn Town,TC,100,80.87,18.63,83,21.4612,-71.1419
307,Lakatoro,VU,56,78.42,6.8,85,-16.0999,167.4164
308,Lucan,IE,75,60.53,8.05,62,53.3592,-6.4389
309,Pangody,RU,93,61.45,7.29,88,65.85,74.4859
310,Gweru,ZW,0,50.83,6.53,46,-19.45,29.8167
311,Kościerzyna,PL,54,59.31,1.59,81,54.1223,17.9812
312,Santiago del Estero,AR,64,73.87,12.57,34,-27.7951,-64.2615
313,Grand Gaube,MU,38,72.0,3.0,76,-20.0064,57.6608
314,Buzdyak,RU,100,63.55,9.08,89,54.5833,54.55
315,La Rioja,AR,73,65.86,11.14,46,-29.4111,-66.8507
316,Puerto Cabezas,NI,40,80.56,0.0,89,14.0351,-83.3888
317,Loandjili,CG,20,78.91,4.61,89,-4.7561,11.8578
318,Krasnovishersk,RU,99,60.58,4.72,97,60.4078,57.082
319,Tigil',RU,98,55.71,9.82,54,57.8,158.6667
320,Kamina,CD,40,62.91,3.22,41,-8.7386,24.9906
321,La Sarre,CA,41,64.87,12.73,45,48.8002,-79.1996
322,Thompson,CA,40,62.76,3.44,59,55.7435,-97.8558
323,Golborne,GB,100,59.56,4.0,70,53.4769,-2.5965
324,Bilma,NE,0,93.61,10.96,11,18.6853,12.9164
325,Soyo,AO,38,76.12,9.91,88,-6.1349,12.3689
326,Srandakan,ID,83,57.72,3.71,90,-7.9386,110.2506
327,North Bend,US,1,70.25,9.22,82,43.4065,-124.2243
328,Vestmannaeyjar,IS,40,45.59,11.5,76,63.4427,-20.2734
329,Sambava,MG,16,71.4,4.72,92,-14.2667,50.1667
330,Lengshuijiang,CN,99,77.29,3.74,90,27.6881,111.4294
